,date,shot,fuel,oxidizer,diluent,t_0,u_t_0,p_0_nom,p_0,u_p_0,phi_nom,phi,u_phi,dil_mf_nom,dil_mf,u_dil_mf,wave_speed,u_wave_speed,t_ad,cj_speed,sound_speed,dil_mf_co2e,u_dil_mf_co2e
0,2020-11-23,0,CH4,N2O,N2,288.85442557478353,3.487385230129324,101325.0,101321.38622573786,3.933010841037276,1.0,1.0701447932808246,0.0007100450918069,0.1,0.2327118275428511,9.900139863117491e-05,2059.45945945946,2.8113083964532466,2794.637780948498,2114.4641507664865,1148.7853281290054,0.2327118275428511,9.900139863117491e-05
1,2020-12-10,0,CH4,N2O,N2,288.2494764972403,3.487385259896169,101325.0,101441.62131437247,3.951862061655532,0.4,0.4125399753213061,0.0003072251176403,0.15,0.2502553023798497,5.387956091269729e-05,1795.959595959596,2.137938062357459,2436.412953885937,1895.3412205010077,1041.0957258020255,0.2502553023798497,5.387956091269729e-05
2,2020-11-25,0,CH4,N2O,N2,289.117440315313,3.487385226708575,101325.0,101312.65603279413,3.9905128269941623,1.0,1.088797988315902,0.0009113267696236,0.2,0.3877417831078747,0.0001007267233289,1961.0294117647056,2.549002196995068,2657.5216846277776,2031.7812697799773,1108.4638814160787,0.3877417831078747,0.0001007267233289
3,2020-12-09,0,CH4,N2O,CO2,288.71836174121137,3.4873852770622444,101325.0,101432.33683425932,3.883889960843084,0.4,0.4138312873380695,0.000259399640814,0.1,0.102602586450416,5.247113330366095e-05,1783.9464882943143,2.1094325403797445,2516.543410765125,1875.787280704692,1021.5808015657838,0.102602586450416,5.247113330366095e-05
4,2020-11-12,0,CH4,N2O,N2,290.3238061014779,3.493192705826452,101325.0,101327.13188416684,4.019152318152329,1.0,1.095291822495435,0.000808307270773,0.2,0.3869969533068575,8.634428414192308e-05,1979.2207792207791,2.596512865403638,2658.704224250772,2033.2117218512828,1109.304496921726,0.3869969533068575,8.634428414192308e-05
5,2020-11-24,0,CH4,N2O,N2,288.27813218295614,3.4873853391613143,101325.0,101346.1087937043,3.790199215991263,1.0,1.065968131665677,0.0006120387483065,0.2,0.3860947037645392,6.72203729497622e-05,2001.500938086304,2.655299973493967,2658.45138501476,2028.9272643389772,1106.7446095012583,0.3860947037645392,6.72203729497622e-05
6,2020-12-07,0,CH4,N2O,CO2,288.3098417644743,3.4873852249329493,101325.0,101456.89458963995,3.611667460005533,0.7,0.7378623441630793,0.0005349251730254,0.1,0.1042408121949835,9.940606707575287e-05,1932.608695652174,2.475653467528933,2722.640092418092,1993.6471777141724,1079.2103236182106,0.1042408121949835,9.940606707575287e-05
7,2020-12-27,0,CH4,N2O,N2,289.9724351640707,3.487385415247354,101325.0,101318.08237949556,4.589152807672923,1.0,1.0658761779885524,0.0004844416097286,0.2,0.3845758188109304,5.950472730564415e-05,1990.2985074626863,2.6256596477846155,2660.5416557324384,2029.6487848049192,1107.1725999585983,0.3845758188109304,5.950472730564415e-05
8,2020-11-26,1,CH4,N2O,CO2,290.7714424388504,3.4873852351614483,101325.0,101377.988467225,3.2963408323637875,0.4,0.4246575499291853,0.0005712019683468,0.2,0.2081375744825119,9.532079103031088e-05,1641.2307692307693,1.78542370217748,2362.9861641449243,1767.385670820721,963.7056215027006,0.2081375744825119,9.532079103031088e-05
9,2020-11-24,1,CH4,N2O,N2,289.0640641393604,3.48738525295456,101325.0,101383.58433058548,4.13697462110165,0.7,0.7353240557520292,0.0004536224814287,0.15,0.2933830274492465,6.578135479009269e-05,1950.2742230347349,2.521119064499844,2655.207980066737,1999.007843255075,1090.0806688472942,0.2933830274492465,6.578135479009269e-05
